DR_NO,DATE,AREA,AREA_NAME,PREMISE_CODE,PREMISE_DESC,RPT DIST NO,PART 1-2,CRM CD,CRM CD DESC,NUM_CRIMES_DATE,NUM_CRIMES_AREA,NUM_CRIMES_AREA_NAME,NUM_CRIMES_TYPE,NUM_CRIMES_TYPE_DESC,NUM_CRIMES_DISTRICT,NUM_CRIMES_CODE,NUM_CRIMES_PREMISE,NUM_CRIMES_PREMISE_DESC,NUM_SIMILAR_VICTIM_DESCENT,NUM_GENDER_DIVERSITY,NUM_WEAPON_USED_IN_AREA,NUM_VICTIM_DESCENT_COMMON_IN_WEAPON,NUM_AREA_COMMON_FOR_VICTIM_DESCENT,IS_HIGH_CRIME_RATE_AREA,IS_VICTIM_FEMALE,IS_VICTIM_MALE,IS_CRIME_INVOLVING_MINOR,IS_CRIME_INVOLVING_ADULT,IS_CRIME_INVOLVING_SENIOR,IS_HIGH_NIGHT_CRIME_AREA,IS_HIGH_DAY_CRIME_AREA
10304468,1/8/2020,3,Southwest,501,SINGLE FAMILY DWELLING,377,2,624,BATTERY - SIMPLE ASSAULT,29,14,14,416,118,1,118,70,70,188,640,0,1,0,0,0,0,0,1,0,0,0
190101086,1/1/2020,1,Central,102,SIDEWALK,163,2,624,BATTERY - SIMPLE ASSAULT,40,794,794,416,118,15,118,129,129,304,492,0,0,0,1,0,0,0,1,0,0,0
200110444,2/13/2020,1,Central,726,POLICE FACILITY,155,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,2,794,794,416,5,14,5,6,6,71,932,0,1,0,1,0,0,1,0,0,0,0
191501505,1/1/2020,15,N Hollywood,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1543,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),40,2,2,416,27,1,27,108,108,231,640,0,1,0,0,0,0,0,0,1,0,0
191921269,1/1/2020,19,Mission,409,BEAUTY SUPPLY STORE,1998,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",40,3,3,416,53,1,53,2,2,71,932,0,1,0,0,0,0,0,1,0,0,0
200100501,1/1/2020,1,Central,735,NIGHT CLUB (OPEN EVENINGS ONLY),163,1,121,"RAPE, FORCIBLE",40,794,794,584,9,15,9,13,13,304,640,0,0,0,1,0,0,0,1,0,0,0
200100502,1/2/2020,1,Central,404,DEPARTMENT STORE,161,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),32,794,794,584,50,20,50,35,35,304,492,0,1,0,1,0,0,0,1,0,0,0
200100504,1/4/2020,1,Central,726,POLICE FACILITY,155,2,946,OTHER MISCELLANEOUS CRIME,29,794,794,416,14,14,14,6,6,71,932,0,1,0,1,0,0,1,0,0,0,0
200100507,1/4/2020,1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",101,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",29,794,794,584,45,8,45,108,108,188,492,0,1,0,1,0,0,0,1,0,0,0
201710201,5/26/2020,17,Devonshire,203,OTHER BUSINESS,1708,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2,6,6,584,45,1,45,40,40,71,932,0,1,0,0,0,0,1,0,0,0,0
200100509,1/4/2020,1,Central,101,STREET,192,1,330,BURGLARY FROM VEHICLE,29,794,794,584,127,27,127,215,215,45,492,0,0,0,1,0,0,0,1,0,0,0
200100510,1/5/2020,1,Central,108,PARKING LOT,111,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,25,794,794,416,22,48,22,74,74,83,492,0,0,0,1,0,0,0,1,0,0,0
200100514,1/5/2020,1,Central,503,HOTEL,162,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",25,794,794,584,45,90,45,7,7,45,492,0,1,0,1,0,0,0,1,0,0,0
200100515,1/7/2020,1,Central,404,DEPARTMENT STORE,162,1,648,ARSON,22,794,794,584,3,90,3,35,35,71,932,0,0,0,1,0,0,1,0,0,0,0
200100520,1/8/2020,1,Central,252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",128,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),29,794,794,584,50,8,50,5,5,304,640,0,1,0,1,0,0,0,1,0,0,0
211916029,11/30/2020,19,Mission,501,SINGLE FAMILY DWELLING,1916,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,3,3,3,416,34,1,34,70,70,304,640,0,1,0,0,0,0,0,1,0,0,0
201116159,11/28/2020,11,Northeast,501,SINGLE FAMILY DWELLING,1124,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2,14,14,416,34,2,34,70,70,304,640,0,1,0,0,0,0,0,1,0,0,0
200506268,2/22/2020,5,Harbor,102,SIDEWALK,511,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1,19,19,584,75,1,75,129,129,231,640,0,1,0,0,0,0,0,1,0,0,0
210916801,11/19/2020,9,Van Nuys,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",932,2,354,THEFT OF IDENTITY,2,14,14,416,33,1,33,108,108,188,492,0,1,0,0,0,0,0,1,0,0,0
200100535,1/14/2020,1,Central,103,ALLEY,152,1,210,ROBBERY,21,794,794,584,35,45,35,6,6,188,492,0,0,0,1,0,0,0,0,1,0,0
200914517,9/9/2020,9,Van Nuys,507,CONDOMINIUM/TOWNHOUSE,909,2,354,THEFT OF IDENTITY,1,14,14,416,33,1,33,1,1,83,492,0,1,0,0,0,0,0,1,0,0,0
200100538,1/14/2020,1,Central,404,DEPARTMENT STORE,162,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",21,794,794,584,45,90,45,35,35,304,492,0,1,0,1,0,0,0,1,0,0,0
200100543,1/15/2020,1,Central,404,DEPARTMENT STORE,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),19,794,794,584,50,90,50,35,35,188,492,0,1,0,1,0,0,0,1,0,0,0
211014725,12/28/2020,10,West Valley,501,SINGLE FAMILY DWELLING,1045,2,354,THEFT OF IDENTITY,2,14,14,416,33,1,33,70,70,231,640,0,1,0,0,0,0,0,1,0,0,0
200100546,1/15/2020,1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",166,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",19,794,794,584,43,22,43,108,108,45,492,0,0,0,1,0,0,0,1,0,0,0
211015072,11/1/2020,10,West Valley,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1043,2,354,THEFT OF IDENTITY,4,14,14,416,33,2,33,108,108,188,640,0,1,0,0,0,0,0,1,0,0,0
201106067,2/15/2020,11,Northeast,108,PARKING LOT,1101,1,330,BURGLARY FROM VEHICLE,1,14,14,584,127,1,127,74,74,45,492,0,1,0,0,0,0,0,1,0,0,0
200100552,1/19/2020,1,Central,148,PUBLIC RESTROOM/OUTSIDE*,111,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",24,794,794,584,43,48,43,1,1,231,492,0,0,0,1,0,0,0,0,1,0,0
200815333,10/15/2020,8,West LA,501,SINGLE FAMILY DWELLING,814,2,624,BATTERY - SIMPLE ASSAULT,3,21,21,416,118,1,118,70,70,231,640,0,1,0,0,0,0,0,1,0,0,0
200100556,1/20/2020,1,Central,503,HOTEL,141,1,121,"RAPE, FORCIBLE",26,794,794,584,9,3,9,7,7,188,640,0,1,0,1,0,0,0,1,0,0,0
200100559,1/23/2020,1,Central,503,HOTEL,111,1,310,BURGLARY,24,794,794,584,23,48,23,7,7,231,492,0,1,0,1,0,0,0,1,0,0,0
210816993,4/28/2020,8,West LA,501,SINGLE FAMILY DWELLING,859,2,354,THEFT OF IDENTITY,1,21,21,416,33,1,33,70,70,231,492,0,1,0,0,0,0,0,1,0,0,0
201111990,7/29/2020,11,Northeast,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1124,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2,14,14,416,34,2,34,108,108,304,640,0,1,0,0,0,0,0,1,0,0,0
200117988,9/3/2020,1,Central,707,GARAGE/CARPORT,111,1,510,VEHICLE - STOLEN,1,794,794,584,51,48,51,13,13,64,936,0,1,0,1,0,0,1,0,0,0,0
200100568,1/27/2020,1,Central,801,MTA BUS,166,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,27,794,794,416,22,22,22,5,5,188,492,0,0,0,1,0,0,0,0,1,0,0
211015073,11/1/2020,10,West Valley,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1043,2,354,THEFT OF IDENTITY,4,14,14,416,33,2,33,108,108,188,492,0,1,0,0,0,0,0,1,0,0,0
200716724,12/3/2020,7,Wilshire,203,OTHER BUSINESS,722,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1,11,11,584,50,1,50,40,40,83,492,0,1,0,0,0,0,0,1,0,0,0
200914052,8/27/2020,9,Van Nuys,102,SIDEWALK,935,2,624,BATTERY - SIMPLE ASSAULT,1,14,14,416,118,2,118,129,129,304,640,0,1,0,0,0,0,0,1,0,0,0
200100572,1/28/2020,1,Central,101,STREET,181,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",21,794,794,416,53,11,53,215,215,71,932,0,1,0,1,0,0,1,0,0,0,0
200810920,6/20/2020,8,West LA,510,NURSING/CONVALESCENT/RETIREMENT HOME,841,2,624,BATTERY - SIMPLE ASSAULT,1,21,21,416,118,1,118,1,1,231,640,0,1,0,0,0,0,0,0,1,0,0
200100574,1/29/2020,1,Central,404,DEPARTMENT STORE,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),4,794,794,584,50,90,50,35,35,231,492,0,1,0,1,0,0,1,0,0,0,0
200100576,1/30/2020,1,Central,101,STREET,195,1,330,BURGLARY FROM VEHICLE,4,794,794,584,127,19,127,215,215,304,492,0,1,0,1,0,0,0,1,0,0,0
200100578,1/30/2020,1,Central,401,MINI-MART,163,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",4,794,794,584,43,15,43,3,3,304,492,0,0,0,1,0,0,0,1,0,0,0
200100583,2/4/2020,1,Central,203,OTHER BUSINESS,146,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2,794,794,584,43,6,43,40,40,304,640,0,0,0,1,0,0,0,1,0,0,0
200100584,2/4/2020,1,Central,404,DEPARTMENT STORE,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2,794,794,584,50,90,50,35,35,231,492,0,1,0,1,0,0,0,1,0,0,0
221412410,11/12/2020,14,Pacific,101,STREET,1444,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),2,6,6,584,27,2,27,215,215,64,936,0,1,0,0,0,0,1,0,0,0,0
200100587,2/6/2020,1,Central,122,"VEHICLE, PASSENGER/TRUCK",163,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",3,794,794,416,53,15,53,39,39,45,640,0,1,0,1,0,0,0,0,1,0,0
200218458,12/11/2020,2,Rampart,108,PARKING LOT,233,1,761,BRANDISH WEAPON,1,16,16,584,14,2,14,74,74,231,492,0,0,0,0,0,0,0,1,0,0,0
201225288,11/26/2020,12,77th Street,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1257,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2,9,9,584,17,1,17,108,108,188,640,0,0,0,0,0,0,0,1,0,0,0
200100596,2/8/2020,1,Central,406,OTHER STORE,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1,794,794,584,50,90,50,15,15,188,492,0,1,0,1,0,0,0,1,0,0,0
200407318,3/27/2020,4,Hollenbeck,203,OTHER BUSINESS,422,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2,16,16,416,53,2,53,40,40,83,492,0,1,0,0,0,0,0,1,0,0,0
200407198,3/22/2020,4,Hollenbeck,501,SINGLE FAMILY DWELLING,466,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2,16,16,416,34,1,34,70,70,304,640,0,1,0,0,0,0,0,1,0,0,0
201112187,7/16/2020,11,Northeast,501,SINGLE FAMILY DWELLING,1144,2,662,"BUNCO, GRAND THEFT",2,14,14,416,5,1,5,70,70,231,640,0,1,0,0,0,0,0,1,0,0,0
210109294,12/1/2020,1,Central,726,POLICE FACILITY,155,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1,794,794,416,5,14,5,6,6,83,492,0,1,0,1,0,0,1,0,0,0,0
200104020,1/1/2020,1,Central,102,SIDEWALK,153,1,350,"THEFT, PERSON",40,794,794,584,16,33,16,129,129,188,492,0,1,0,1,0,0,0,1,0,0,0
200104024,1/1/2020,1,Central,122,"VEHICLE, PASSENGER/TRUCK",134,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",40,794,794,416,53,10,53,39,39,45,492,0,1,0,1,0,0,0,1,0,0,0
200104027,1/1/2020,1,Central,108,PARKING LOT,182,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,40,794,794,416,22,43,22,74,74,83,492,0,1,0,1,0,0,0,1,0,0,0
200104033,1/1/2020,1,Central,101,STREET,143,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,40,794,794,416,34,8,34,215,215,231,492,0,1,0,1,0,0,0,1,0,0,0
200811087,6/23/2020,8,West LA,514,GROUP HOME,898,2,624,BATTERY - SIMPLE ASSAULT,1,21,21,416,118,3,118,1,1,231,492,0,1,0,0,0,0,0,1,0,0,0
